"ray/tune/info/num_steps_sampled","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: hard - _step","threshold_type: hard - _step__MIN","threshold_type: hard - _step__MAX","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean__MAX"
"9200","91","91","91","0.026561694219708443","0.026561694219708443","0.026561694219708443","91","91","91","0.011970420368015766","0.011970420368015766","0.011970420368015766","91","91","91","0.019629204645752907","0.019629204645752907","0.019629204645752907","91","91","91","0.02360730618238449","0.02360730618238449","0.02360730618238449"
"9300","92","92","92","0.021704871207475662","0.021704871207475662","0.021704871207475662","92","92","92","0.014633369632065296","0.014633369632065296","0.014633369632065296","92","92","92","0.014329607598483562","0.014329607598483562","0.014329607598483562","92","92","92","0.026503529399633408","0.026503529399633408","0.026503529399633408"
"9400","93","93","93","-0.004456751514226198","-0.004456751514226198","-0.004456751514226198","93","93","93","0.02083289995789528","0.02083289995789528","0.02083289995789528","93","93","93","0.022103017196059227","0.022103017196059227","0.022103017196059227","93","93","93","0.020792728289961815","0.020792728289961815","0.020792728289961815"
"9500","94","94","94","0.0004710914508905262","0.0004710914508905262","0.0004710914508905262","94","94","94","0.0047809407114982605","0.0047809407114982605","0.0047809407114982605","94","94","94","0.013487156480550766","0.013487156480550766","0.013487156480550766","94","94","94","0.0167227890342474","0.0167227890342474","0.0167227890342474"
"9600","95","95","95","0.018246052786707878","0.018246052786707878","0.018246052786707878","95","95","95","0.007678917143493891","0.007678917143493891","0.007678917143493891","95","95","95","0.023880774155259132","0.023880774155259132","0.023880774155259132","95","95","95","0.017040491104125977","0.017040491104125977","0.017040491104125977"
"9700","96","96","96","0.0071424744091928005","0.0071424744091928005","0.0071424744091928005","96","96","96","0.014156017452478409","0.014156017452478409","0.014156017452478409","96","96","96","0.008711153641343117","0.008711153641343117","0.008711153641343117","96","96","96","0.0019048356916755438","0.0019048356916755438","0.0019048356916755438"
"9800","97","97","97","0.024937931448221207","0.024937931448221207","0.024937931448221207","97","97","97","0.011590305715799332","0.011590305715799332","0.011590305715799332","97","97","97","0.006528410594910383","0.006528410594910383","0.006528410594910383","97","97","97","0.020453765988349915","0.020453765988349915","0.020453765988349915"
"9900","98","98","98","0.016456589102745056","0.016456589102745056","0.016456589102745056","98","98","98","0.005568046122789383","0.005568046122789383","0.005568046122789383","98","98","98","0.014274920336902142","0.014274920336902142","0.014274920336902142","98","98","98","0.0241229385137558","0.0241229385137558","0.0241229385137558"
"10000","99","99","99","0.0017251907847821712","0.0017251907847821712","0.0017251907847821712","99","99","99","0.02749614045023918","0.02749614045023918","0.02749614045023918","99","99","99","0.016961045563220978","0.016961045563220978","0.016961045563220978","99","99","99","-0.0011144912568852305","-0.0011144912568852305","-0.0011144912568852305"
"10100","100","100","100","0.006768065970391035","0.006768065970391035","0.006768065970391035","100","100","100","0.0182294100522995","0.0182294100522995","0.0182294100522995","100","100","100","-0.004148452542722225","-0.004148452542722225","-0.004148452542722225","100","100","100","0.005390154663473368","0.005390154663473368","0.005390154663473368"
"10200","101","101","101","0.033572591841220856","0.033572591841220856","0.033572591841220856","101","101","101","0.015326015651226044","0.015326015651226044","0.015326015651226044","101","101","101","0.018815787509083748","0.018815787509083748","0.018815787509083748","101","101","101","0.005995340179651976","0.005995340179651976","0.005995340179651976"
"10300","102","102","102","0.00923889596015215","0.00923889596015215","0.00923889596015215","102","102","102","0.020042341202497482","0.020042341202497482","0.020042341202497482","102","102","102","0.005294534843415022","0.005294534843415022","0.005294534843415022","102","102","102","0.010786769911646843","0.010786769911646843","0.010786769911646843"
"10400","103","103","103","0.015443182550370693","0.015443182550370693","0.015443182550370693","103","103","103","0.007697219029068947","0.007697219029068947","0.007697219029068947","103","103","103","0.028173062950372696","0.028173062950372696","0.028173062950372696","103","103","103","0.03259183466434479","0.03259183466434479","0.03259183466434479"
"10500","104","104","104","0.007597789168357849","0.007597789168357849","0.007597789168357849","104","104","104","0.008107020519673824","0.008107020519673824","0.008107020519673824","104","104","104","0.010499881580471992","0.010499881580471992","0.010499881580471992","104","104","104","-0.00833972916007042","-0.00833972916007042","-0.00833972916007042"
"10600","105","105","105","0.018682697787880898","0.018682697787880898","0.018682697787880898","105","105","105","0.02056097984313965","0.02056097984313965","0.02056097984313965","105","105","105","0.005275622475892305","0.005275622475892305","0.005275622475892305","105","105","105","0.008920690044760704","0.008920690044760704","0.008920690044760704"
"10700","106","106","106","0.023303987458348274","0.023303987458348274","0.023303987458348274","106","106","106","0.017168978229165077","0.017168978229165077","0.017168978229165077","106","106","106","0.013852503150701523","0.013852503150701523","0.013852503150701523","106","106","106","0.008840137161314487","0.008840137161314487","0.008840137161314487"
"10800","107","107","107","0.014130023308098316","0.014130023308098316","0.014130023308098316","107","107","107","0.019633330404758453","0.019633330404758453","0.019633330404758453","107","107","107","0.016462724655866623","0.016462724655866623","0.016462724655866623","107","107","107","0.03664148226380348","0.03664148226380348","0.03664148226380348"
"10900","108","108","108","0.028349619358778","0.028349619358778","0.028349619358778","108","108","108","-0.0007429672405123711","-0.0007429672405123711","-0.0007429672405123711","108","108","108","0.022327303886413574","0.022327303886413574","0.022327303886413574","108","108","108","0.025794044137001038","0.025794044137001038","0.025794044137001038"
"11000","109","109","109","0.014244763180613518","0.014244763180613518","0.014244763180613518","109","109","109","0.015876222401857376","0.015876222401857376","0.015876222401857376","109","109","109","0.008505993522703648","0.008505993522703648","0.008505993522703648","109","109","109","0.02916460856795311","0.02916460856795311","0.02916460856795311"
"11100","110","110","110","0.005990481469780207","0.005990481469780207","0.005990481469780207","110","110","110","0.022206423804163933","0.022206423804163933","0.022206423804163933","110","110","110","0.024439433589577675","0.024439433589577675","0.024439433589577675","110","110","110","-0.0014951463090255857","-0.0014951463090255857","-0.0014951463090255857"
"11200","111","111","111","0.02181897684931755","0.02181897684931755","0.02181897684931755","111","111","111","0.02359851635992527","0.02359851635992527","0.02359851635992527","111","111","111","0.02158467285335064","0.02158467285335064","0.02158467285335064","111","111","111","0.045980848371982574","0.045980848371982574","0.045980848371982574"
"11300","112","112","112","0.024362916126847267","0.024362916126847267","0.024362916126847267","112","112","112","0.009949488565325737","0.009949488565325737","0.009949488565325737","112","112","112","0.017613127827644348","0.017613127827644348","0.017613127827644348","112","112","112","0.014924519695341587","0.014924519695341587","0.014924519695341587"
"11400","113","113","113","0.018905168399214745","0.018905168399214745","0.018905168399214745","113","113","113","0.012279088608920574","0.012279088608920574","0.012279088608920574","113","113","113","0.023934785276651382","0.023934785276651382","0.023934785276651382","113","113","113","0.02559049054980278","0.02559049054980278","0.02559049054980278"
"11500","114","114","114","0.009041798301041126","0.009041798301041126","0.009041798301041126","114","114","114","0.029423197731375694","0.029423197731375694","0.029423197731375694","114","114","114","0.0266196858137846","0.0266196858137846","0.0266196858137846","114","114","114","0.023012202233076096","0.023012202233076096","0.023012202233076096"
"11600","115","115","115","0.019802870228886604","0.019802870228886604","0.019802870228886604","115","115","115","0.022840024903416634","0.022840024903416634","0.022840024903416634","115","115","115","0.009523522108793259","0.009523522108793259","0.009523522108793259","115","115","115","0.025040727108716965","0.025040727108716965","0.025040727108716965"
"11700","116","116","116","0.013241063803434372","0.013241063803434372","0.013241063803434372","116","116","116","0.025589413940906525","0.025589413940906525","0.025589413940906525","116","116","116","0.009738299995660782","0.009738299995660782","0.009738299995660782","116","116","116","0.0350961796939373","0.0350961796939373","0.0350961796939373"
"11800","117","117","117","0.023382164537906647","0.023382164537906647","0.023382164537906647","117","117","117","0.02846875600516796","0.02846875600516796","0.02846875600516796","117","117","117","0.019784843549132347","0.019784843549132347","0.019784843549132347","117","117","117","0.009508989751338959","0.009508989751338959","0.009508989751338959"
"11900","118","118","118","0.014133681543171406","0.014133681543171406","0.014133681543171406","118","118","118","0.02970508486032486","0.02970508486032486","0.02970508486032486","118","118","118","0.021154414862394333","0.021154414862394333","0.021154414862394333","118","118","118","0.0026601513382047415","0.0026601513382047415","0.0026601513382047415"
"12000","119","119","119","0.038507185876369476","0.038507185876369476","0.038507185876369476","119","119","119","0.017831701785326004","0.017831701785326004","0.017831701785326004","119","119","119","0.035537488758563995","0.035537488758563995","0.035537488758563995","119","119","119","0.015491067431867123","0.015491067431867123","0.015491067431867123"
"12100","120","120","120","0.01949823461472988","0.01949823461472988","0.01949823461472988","120","120","120","0.03170778229832649","0.03170778229832649","0.03170778229832649","120","120","120","0.024070216342806816","0.024070216342806816","0.024070216342806816","120","120","120","0.014867361634969711","0.014867361634969711","0.014867361634969711"
"12200","121","121","121","0.022141920402646065","0.022141920402646065","0.022141920402646065","121","121","121","0.02948566898703575","0.02948566898703575","0.02948566898703575","121","121","121","0.012998998165130615","0.012998998165130615","0.012998998165130615","121","121","121","0.012635148130357265","0.012635148130357265","0.012635148130357265"
"12300","122","122","122","0.027499869465827942","0.027499869465827942","0.027499869465827942","122","122","122","0.023421863093972206","0.023421863093972206","0.023421863093972206","122","122","122","0.02556207962334156","0.02556207962334156","0.02556207962334156","122","122","122","0.018617315217852592","0.018617315217852592","0.018617315217852592"
"12400","123","123","123","0.021464133635163307","0.021464133635163307","0.021464133635163307","123","123","123","0.04046645760536194","0.04046645760536194","0.04046645760536194","123","123","123","0.02330193482339382","0.02330193482339382","0.02330193482339382","123","123","123","0.0041515096090734005","0.0041515096090734005","0.0041515096090734005"
"12500","124","124","124","0.010985043831169605","0.010985043831169605","0.010985043831169605","124","124","124","0.026661762967705727","0.026661762967705727","0.026661762967705727","124","124","124","0.027210010215640068","0.027210010215640068","0.027210010215640068","124","124","124","0.03985550254583359","0.03985550254583359","0.03985550254583359"
"12600","125","125","125","0.0168809425085783","0.0168809425085783","0.0168809425085783","125","125","125","0.02512955106794834","0.02512955106794834","0.02512955106794834","125","125","125","0.047949932515621185","0.047949932515621185","0.047949932515621185","125","125","125","0.01034628041088581","0.01034628041088581","0.01034628041088581"
"12700","126","126","126","0.019362682476639748","0.019362682476639748","0.019362682476639748","126","126","126","0.038240205496549606","0.038240205496549606","0.038240205496549606","126","126","126","0.012442232109606266","0.012442232109606266","0.012442232109606266","126","126","126","0.022882994264364243","0.022882994264364243","0.022882994264364243"
"12800","127","127","127","0.011102559044957161","0.011102559044957161","0.011102559044957161","127","127","127","0.019643448293209076","0.019643448293209076","0.019643448293209076","127","127","127","0.03612123057246208","0.03612123057246208","0.03612123057246208","127","127","127","0.018003882840275764","0.018003882840275764","0.018003882840275764"
"12900","128","128","128","0.013414188288152218","0.013414188288152218","0.013414188288152218","128","128","128","0.025576533749699593","0.025576533749699593","0.025576533749699593","128","128","128","0.000031763855076860636","0.000031763855076860636","0.000031763855076860636","128","128","128","0.018039019778370857","0.018039019778370857","0.018039019778370857"
"13000","129","129","129","0.03680991381406784","0.03680991381406784","0.03680991381406784","129","129","129","0.030044501647353172","0.030044501647353172","0.030044501647353172","129","129","129","0.032173603773117065","0.032173603773117065","0.032173603773117065","129","129","129","0.029951347038149834","0.029951347038149834","0.029951347038149834"
"13100","130","130","130","0.02307039499282837","0.02307039499282837","0.02307039499282837","130","130","130","0.020347965881228447","0.020347965881228447","0.020347965881228447","130","130","130","0.011269180104136467","0.011269180104136467","0.011269180104136467","130","130","130","0.015140575356781483","0.015140575356781483","0.015140575356781483"
"13200","131","131","131","0.053117576986551285","0.053117576986551285","0.053117576986551285","131","131","131","0.04225262999534607","0.04225262999534607","0.04225262999534607","131","131","131","0.03818008303642273","0.03818008303642273","0.03818008303642273","131","131","131","0.032812852412462234","0.032812852412462234","0.032812852412462234"
"13300","132","132","132","0.03306825831532478","0.03306825831532478","0.03306825831532478","132","132","132","0.022955473512411118","0.022955473512411118","0.022955473512411118","132","132","132","0.03323910012841225","0.03323910012841225","0.03323910012841225","132","132","132","0.023502858355641365","0.023502858355641365","0.023502858355641365"
"13400","133","133","133","0.03955845162272453","0.03955845162272453","0.03955845162272453","133","133","133","0.015829913318157196","0.015829913318157196","0.015829913318157196","133","133","133","0.020074285566806793","0.020074285566806793","0.020074285566806793","133","133","133","0.03598141297698021","0.03598141297698021","0.03598141297698021"
"13500","134","134","134","0.03653118014335632","0.03653118014335632","0.03653118014335632","134","134","134","0.02645433507859707","0.02645433507859707","0.02645433507859707","134","134","134","0.026360411196947098","0.026360411196947098","0.026360411196947098","134","134","134","0.0265963152050972","0.0265963152050972","0.0265963152050972"
"13600","135","135","135","0.03656095638871193","0.03656095638871193","0.03656095638871193","135","135","135","0.038635194301605225","0.038635194301605225","0.038635194301605225","135","135","135","0.023065561428666115","0.023065561428666115","0.023065561428666115","135","135","135","0.043977364897727966","0.043977364897727966","0.043977364897727966"
"13700","136","136","136","0.015586880035698414","0.015586880035698414","0.015586880035698414","136","136","136","0.019721021875739098","0.019721021875739098","0.019721021875739098","136","136","136","0.034179795533418655","0.034179795533418655","0.034179795533418655","136","136","136","0.03089587390422821","0.03089587390422821","0.03089587390422821"
"13800","137","137","137","0.03413153439760208","0.03413153439760208","0.03413153439760208","137","137","137","0.030602840706706047","0.030602840706706047","0.030602840706706047","137","137","137","0.03865952044725418","0.03865952044725418","0.03865952044725418","137","137","137","0.040565915405750275","0.040565915405750275","0.040565915405750275"
"13900","138","138","138","0.0216536782681942","0.0216536782681942","0.0216536782681942","138","138","138","0.028187016025185585","0.028187016025185585","0.028187016025185585","138","138","138","0.04152665659785271","0.04152665659785271","0.04152665659785271","138","138","138","0.031374942511320114","0.031374942511320114","0.031374942511320114"
"14000","139","139","139","0.040310703217983246","0.040310703217983246","0.040310703217983246","139","139","139","0.01568601094186306","0.01568601094186306","0.01568601094186306","139","139","139","0.022851619869470596","0.022851619869470596","0.022851619869470596","139","139","139","0.03370645269751549","0.03370645269751549","0.03370645269751549"
"14100","140","140","140","0.025082742795348167","0.025082742795348167","0.025082742795348167","140","140","140","0.013857314363121986","0.013857314363121986","0.013857314363121986","140","140","140","0.02714548259973526","0.02714548259973526","0.02714548259973526","140","140","140","0.021694207563996315","0.021694207563996315","0.021694207563996315"
"14200","141","141","141","0.03846439719200134","0.03846439719200134","0.03846439719200134","141","141","141","0.002908228663727641","0.002908228663727641","0.002908228663727641","141","141","141","0.04052360728383064","0.04052360728383064","0.04052360728383064","141","141","141","0.028743896633386612","0.028743896633386612","0.028743896633386612"
"14300","142","142","142","0.031934190541505814","0.031934190541505814","0.031934190541505814","142","142","142","0.023025302216410637","0.023025302216410637","0.023025302216410637","142","142","142","0.017896778881549835","0.017896778881549835","0.017896778881549835","142","142","142","0.011233062483370304","0.011233062483370304","0.011233062483370304"
"14400","143","143","143","0.015510537661612034","0.015510537661612034","0.015510537661612034","143","143","143","0.02124468795955181","0.02124468795955181","0.02124468795955181","143","143","143","0.03512761369347572","0.03512761369347572","0.03512761369347572","143","143","143","0.0036427155137062073","0.0036427155137062073","0.0036427155137062073"
"14500","144","144","144","0.02164613828063011","0.02164613828063011","0.02164613828063011","144","144","144","0.0260387621819973","0.0260387621819973","0.0260387621819973","144","144","144","0.04375812038779259","0.04375812038779259","0.04375812038779259","144","144","144","0.0018394566141068935","0.0018394566141068935","0.0018394566141068935"
"14600","145","145","145","0.05562324821949005","0.05562324821949005","0.05562324821949005","145","145","145","0.04507242888212204","0.04507242888212204","0.04507242888212204","145","145","145","0.02899344265460968","0.02899344265460968","0.02899344265460968","145","145","145","0.04755759239196777","0.04755759239196777","0.04755759239196777"
"14700","146","146","146","0.04658743366599083","0.04658743366599083","0.04658743366599083","146","146","146","0.01728842966258526","0.01728842966258526","0.01728842966258526","146","146","146","0.025909343734383583","0.025909343734383583","0.025909343734383583","146","146","146","0.03386672958731651","0.03386672958731651","0.03386672958731651"
"14800","147","147","147","0.024395186454057693","0.024395186454057693","0.024395186454057693","147","147","147","0.021509937942028046","0.021509937942028046","0.021509937942028046","147","147","147","0.03184722363948822","0.03184722363948822","0.03184722363948822","147","147","147","0.05902407318353653","0.05902407318353653","0.05902407318353653"
"14900","148","148","148","0.0163273923099041","0.0163273923099041","0.0163273923099041","148","148","148","0.03911105543375015","0.03911105543375015","0.03911105543375015","148","148","148","0.02891617827117443","0.02891617827117443","0.02891617827117443","148","148","148","0.04124869778752327","0.04124869778752327","0.04124869778752327"
"15000","149","149","149","0.024075068533420563","0.024075068533420563","0.024075068533420563","149","149","149","0.02536037005484104","0.02536037005484104","0.02536037005484104","149","149","149","0.03335271030664444","0.03335271030664444","0.03335271030664444","149","149","149","0.01744089275598526","0.01744089275598526","0.01744089275598526"
"15100","150","150","150","0.025925777852535248","0.025925777852535248","0.025925777852535248","150","150","150","0.028448093682527542","0.028448093682527542","0.028448093682527542","150","150","150","0.031979598104953766","0.031979598104953766","0.031979598104953766","150","150","150","0.042765021324157715","0.042765021324157715","0.042765021324157715"
"15200","151","151","151","0.04589907452464104","0.04589907452464104","0.04589907452464104","151","151","151","0.013054786249995232","0.013054786249995232","0.013054786249995232","151","151","151","0.027619561180472374","0.027619561180472374","0.027619561180472374","151","151","151","0.038321830332279205","0.038321830332279205","0.038321830332279205"
"15300","152","152","152","0.028318244963884354","0.028318244963884354","0.028318244963884354","152","152","152","0.03172949701547623","0.03172949701547623","0.03172949701547623","152","152","152","0.04223523661494255","0.04223523661494255","0.04223523661494255","152","152","152","0.038629673421382904","0.038629673421382904","0.038629673421382904"
"15400","153","153","153","0.03909752517938614","0.03909752517938614","0.03909752517938614","153","153","153","0.03146639093756676","0.03146639093756676","0.03146639093756676","153","153","153","0.03131231293082237","0.03131231293082237","0.03131231293082237","153","153","153","0.023150252178311348","0.023150252178311348","0.023150252178311348"
"15500","154","154","154","0.0238918699324131","0.0238918699324131","0.0238918699324131","154","154","154","0.026845257729291916","0.026845257729291916","0.026845257729291916","154","154","154","0.041811224073171616","0.041811224073171616","0.041811224073171616","154","154","154","0.044812850654125214","0.044812850654125214","0.044812850654125214"
"15600","155","155","155","0.023126989603042603","0.023126989603042603","0.023126989603042603","155","155","155","0.023828143253922462","0.023828143253922462","0.023828143253922462","155","155","155","0.04571456089615822","0.04571456089615822","0.04571456089615822","155","155","155","0.03753453120589256","0.03753453120589256","0.03753453120589256"
"15700","156","156","156","0.023180410265922546","0.023180410265922546","0.023180410265922546","156","156","156","0.054812509566545486","0.054812509566545486","0.054812509566545486","156","156","156","0.03883045166730881","0.03883045166730881","0.03883045166730881","156","156","156","0.04551718756556511","0.04551718756556511","0.04551718756556511"
"15800","157","157","157","0.045127298682928085","0.045127298682928085","0.045127298682928085","157","157","157","0.03138189762830734","0.03138189762830734","0.03138189762830734","157","157","157","0.04786095768213272","0.04786095768213272","0.04786095768213272","157","157","157","0.03298884630203247","0.03298884630203247","0.03298884630203247"
"15900","158","158","158","0.018046405166387558","0.018046405166387558","0.018046405166387558","158","158","158","0.026962781324982643","0.026962781324982643","0.026962781324982643","158","158","158","0.035583775490522385","0.035583775490522385","0.035583775490522385","158","158","158","0.035999372601509094","0.035999372601509094","0.035999372601509094"
"16000","159","159","159","0.032936565577983856","0.032936565577983856","0.032936565577983856","159","159","159","0.039728470146656036","0.039728470146656036","0.039728470146656036","159","159","159","0.029679730534553528","0.029679730534553528","0.029679730534553528","159","159","159","0.034548912197351456","0.034548912197351456","0.034548912197351456"
"16100","160","160","160","0.042515166103839874","0.042515166103839874","0.042515166103839874","160","160","160","0.02338939532637596","0.02338939532637596","0.02338939532637596","160","160","160","0.031313300132751465","0.031313300132751465","0.031313300132751465","160","160","160","0.03273756802082062","0.03273756802082062","0.03273756802082062"
"16200","161","161","161","0.04327971488237381","0.04327971488237381","0.04327971488237381","161","161","161","0.03513224795460701","0.03513224795460701","0.03513224795460701","161","161","161","0.047392286360263824","0.047392286360263824","0.047392286360263824","161","161","161","0.02501780353486538","0.02501780353486538","0.02501780353486538"
"16300","162","162","162","0.036670759320259094","0.036670759320259094","0.036670759320259094","162","162","162","0.016208942979574203","0.016208942979574203","0.016208942979574203","162","162","162","0.0326726920902729","0.0326726920902729","0.0326726920902729","162","162","162","0.04009120538830757","0.04009120538830757","0.04009120538830757"
"16400","163","163","163","0.029119474813342094","0.029119474813342094","0.029119474813342094","163","163","163","0.03495757281780243","0.03495757281780243","0.03495757281780243","163","163","163","0.021359508857131004","0.021359508857131004","0.021359508857131004","163","163","163","0.026125233620405197","0.026125233620405197","0.026125233620405197"
"16500","164","164","164","0.03117685765028","0.03117685765028","0.03117685765028","164","164","164","0.041127175092697144","0.041127175092697144","0.041127175092697144","164","164","164","0.013509429059922695","0.013509429059922695","0.013509429059922695","164","164","164","0.03108130395412445","0.03108130395412445","0.03108130395412445"
"16600","165","165","165","0.04343279078602791","0.04343279078602791","0.04343279078602791","165","165","165","0.034564901143312454","0.034564901143312454","0.034564901143312454","165","165","165","0.020733747631311417","0.020733747631311417","0.020733747631311417","165","165","165","0.029807258397340775","0.029807258397340775","0.029807258397340775"
"16700","166","166","166","0.03659278154373169","0.03659278154373169","0.03659278154373169","166","166","166","0.03964594006538391","0.03964594006538391","0.03964594006538391","166","166","166","0.030293626710772514","0.030293626710772514","0.030293626710772514","166","166","166","0.026683861389756203","0.026683861389756203","0.026683861389756203"
"16800","167","167","167","0.03240332007408142","0.03240332007408142","0.03240332007408142","167","167","167","0.029711022973060608","0.029711022973060608","0.029711022973060608","167","167","167","0.04055940732359886","0.04055940732359886","0.04055940732359886","167","167","167","0.04823053628206253","0.04823053628206253","0.04823053628206253"
"16900","168","168","168","0.02548295073211193","0.02548295073211193","0.02548295073211193","168","168","168","0.015218228101730347","0.015218228101730347","0.015218228101730347","168","168","168","0.04045405238866806","0.04045405238866806","0.04045405238866806","168","168","168","0.03602151200175285","0.03602151200175285","0.03602151200175285"
"17000","169","169","169","0.01639065518975258","0.01639065518975258","0.01639065518975258","169","169","169","0.02655525505542755","0.02655525505542755","0.02655525505542755","169","169","169","0.027040328830480576","0.027040328830480576","0.027040328830480576","169","169","169","0.029073892161250114","0.029073892161250114","0.029073892161250114"
"17100","170","170","170","0.04258578643202782","0.04258578643202782","0.04258578643202782","170","170","170","0.026071378961205482","0.026071378961205482","0.026071378961205482","170","170","170","0.048969950526952744","0.048969950526952744","0.048969950526952744","170","170","170","0.03462404012680054","0.03462404012680054","0.03462404012680054"
"17200","171","171","171","0.03074035607278347","0.03074035607278347","0.03074035607278347","171","171","171","0.02550376020371914","0.02550376020371914","0.02550376020371914","171","171","171","0.04598553478717804","0.04598553478717804","0.04598553478717804","171","171","171","0.03427371382713318","0.03427371382713318","0.03427371382713318"
"17300","172","172","172","0.031357843428850174","0.031357843428850174","0.031357843428850174","172","172","172","0.036803390830755234","0.036803390830755234","0.036803390830755234","172","172","172","0.0312843956053257","0.0312843956053257","0.0312843956053257","172","172","172","0.045599136501550674","0.045599136501550674","0.045599136501550674"
"17400","173","173","173","0.023749999701976776","0.023749999701976776","0.023749999701976776","173","173","173","0.042319782078266144","0.042319782078266144","0.042319782078266144","173","173","173","0.03721165284514427","0.03721165284514427","0.03721165284514427","173","173","173","0.028571536764502525","0.028571536764502525","0.028571536764502525"
"17500","174","174","174","0.028790531679987907","0.028790531679987907","0.028790531679987907","174","174","174","0.03469677269458771","0.03469677269458771","0.03469677269458771","174","174","174","0.056430328637361526","0.056430328637361526","0.056430328637361526","174","174","174","0.029653264209628105","0.029653264209628105","0.029653264209628105"
"17600","175","175","175","0.03421240672469139","0.03421240672469139","0.03421240672469139","175","175","175","0.03547441214323044","0.03547441214323044","0.03547441214323044","175","175","175","0.046841856092214584","0.046841856092214584","0.046841856092214584","175","175","175","0.02937416173517704","0.02937416173517704","0.02937416173517704"
"17700","176","176","176","0.039004307240247726","0.039004307240247726","0.039004307240247726","176","176","176","0.014202652499079704","0.014202652499079704","0.014202652499079704","176","176","176","0.026169326156377792","0.026169326156377792","0.026169326156377792","176","176","176","0.04026363790035248","0.04026363790035248","0.04026363790035248"
"17800","177","177","177","0.05991965904831886","0.05991965904831886","0.05991965904831886","177","177","177","0.04215029627084732","0.04215029627084732","0.04215029627084732","177","177","177","0.04282274842262268","0.04282274842262268","0.04282274842262268","177","177","177","0.03851887583732605","0.03851887583732605","0.03851887583732605"
"17900","178","178","178","0.03271415829658508","0.03271415829658508","0.03271415829658508","178","178","178","0.014006391167640686","0.014006391167640686","0.014006391167640686","178","178","178","0.027411816641688347","0.027411816641688347","0.027411816641688347","178","178","178","0.021410657092928886","0.021410657092928886","0.021410657092928886"
"18000","179","179","179","0.028685951605439186","0.028685951605439186","0.028685951605439186","179","179","179","0.03496769070625305","0.03496769070625305","0.03496769070625305","179","179","179","0.04192381352186203","0.04192381352186203","0.04192381352186203","179","179","179","0.04315466806292534","0.04315466806292534","0.04315466806292534"
"18100","180","180","180","0.01824076846241951","0.01824076846241951","0.01824076846241951","180","180","180","0.05912461876869202","0.05912461876869202","0.05912461876869202","180","180","180","0.026387473568320274","0.026387473568320274","0.026387473568320274","180","180","180","0.019129160791635513","0.019129160791635513","0.019129160791635513"
"18200","181","181","181","0.022276682779192924","0.022276682779192924","0.022276682779192924","181","181","181","0.028033815324306488","0.028033815324306488","0.028033815324306488","181","181","181","0.024579275399446487","0.024579275399446487","0.024579275399446487","181","181","181","0.03756605088710785","0.03756605088710785","0.03756605088710785"
"18300","182","182","182","0.04194795712828636","0.04194795712828636","0.04194795712828636","182","182","182","0.0371129997074604","0.0371129997074604","0.0371129997074604","182","182","182","0.03312556818127632","0.03312556818127632","0.03312556818127632","182","182","182","0.017590856179594994","0.017590856179594994","0.017590856179594994"
"18400","183","183","183","0.039757728576660156","0.039757728576660156","0.039757728576660156","183","183","183","0.02204025164246559","0.02204025164246559","0.02204025164246559","183","183","183","0.029779817909002304","0.029779817909002304","0.029779817909002304","183","183","183","0.02542562037706375","0.02542562037706375","0.02542562037706375"
"18500","184","184","184","0.03271942958235741","0.03271942958235741","0.03271942958235741","184","184","184","0.0472889170050621","0.0472889170050621","0.0472889170050621","184","184","184","0.042448606342077255","0.042448606342077255","0.042448606342077255","184","184","184","0.03565162047743797","0.03565162047743797","0.03565162047743797"
"18600","185","185","185","0.031565628945827484","0.031565628945827484","0.031565628945827484","185","185","185","0.018939245492219925","0.018939245492219925","0.018939245492219925","185","185","185","0.034185539931058884","0.034185539931058884","0.034185539931058884","185","185","185","0.0410585030913353","0.0410585030913353","0.0410585030913353"
"18700","186","186","186","0.028279244899749756","0.028279244899749756","0.028279244899749756","186","186","186","0.0335579551756382","0.0335579551756382","0.0335579551756382","186","186","186","0.042357344180345535","0.042357344180345535","0.042357344180345535","186","186","186","0.026527073234319687","0.026527073234319687","0.026527073234319687"
"18800","187","187","187","0.008994461968541145","0.008994461968541145","0.008994461968541145","187","187","187","0.018625717610120773","0.018625717610120773","0.018625717610120773","187","187","187","0.027023902162909508","0.027023902162909508","0.027023902162909508","187","187","187","0.03528793901205063","0.03528793901205063","0.03528793901205063"
