"ray/tune/info/num_steps_sampled","oracle_noise: 160 - _step","oracle_noise: 160 - _step__MIN","oracle_noise: 160 - _step__MAX","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 140 - _step","oracle_noise: 140 - _step__MIN","oracle_noise: 140 - _step__MAX","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 120 - _step","oracle_noise: 120 - _step__MIN","oracle_noise: 120 - _step__MAX","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 90 - _step","oracle_noise: 90 - _step__MIN","oracle_noise: 90 - _step__MAX","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 60 - _step","oracle_noise: 60 - _step__MIN","oracle_noise: 60 - _step__MAX","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 20 - _step","oracle_noise: 20 - _step__MIN","oracle_noise: 20 - _step__MAX","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean__MAX"
"6000","59","59","59","0.10000000149011612","0.10000000149011612","0.10000000149011612","59","59","59","0.1550000011920929","0.15000000596046448","0.1599999964237213","59","59","59","0.15000000596046448","0.15000000596046448","0.15000000596046448","59","59","59","0.18000000715255737","0.18000000715255737","0.18000000715255737","59","59","59","0.28999999165534973","0.28999999165534973","0.28999999165534973","59","59","59","0.3799999952316284","0.3799999952316284","0.3799999952316284"
"6100","60","60","60","0.10000000149011612","0.10000000149011612","0.10000000149011612","60","60","60","0.16500000655651093","0.15000000596046448","0.18000000715255737","60","60","60","0.1599999964237213","0.1599999964237213","0.1599999964237213","60","60","60","0.2199999988079071","0.2199999988079071","0.2199999988079071","60","60","60","0.27000001072883606","0.27000001072883606","0.27000001072883606","60","60","60","0.4399999976158142","0.4399999976158142","0.4399999976158142"
"6200","61","61","61","0.07999999821186066","0.07999999821186066","0.07999999821186066","61","61","61","0.11499999836087227","0.07000000029802322","0.1599999964237213","61","61","61","0.17000000178813934","0.17000000178813934","0.17000000178813934","61","61","61","0.1899999976158142","0.1899999976158142","0.1899999976158142","61","61","61","0.30000001192092896","0.30000001192092896","0.30000001192092896","61","61","61","0.4699999988079071","0.4699999988079071","0.4699999988079071"
"6300","62","62","62","0.15000000596046448","0.15000000596046448","0.15000000596046448","62","62","62","0.14000000059604645","0.14000000059604645","0.14000000059604645","62","62","62","0.20000000298023224","0.20000000298023224","0.20000000298023224","62","62","62","0.12999999523162842","0.12999999523162842","0.12999999523162842","62","62","62","0.23999999463558197","0.23999999463558197","0.23999999463558197","62","62","62","0.47999998927116394","0.47999998927116394","0.47999998927116394"
"6400","63","63","63","0.14000000059604645","0.14000000059604645","0.14000000059604645","63","63","63","0.1550000011920929","0.12999999523162842","0.18000000715255737","63","63","63","0.1599999964237213","0.1599999964237213","0.1599999964237213","63","63","63","0.2800000011920929","0.2800000011920929","0.2800000011920929","63","63","63","0.28999999165534973","0.28999999165534973","0.28999999165534973","63","63","63","0.38999998569488525","0.38999998569488525","0.38999998569488525"
"6500","64","64","64","0.15000000596046448","0.15000000596046448","0.15000000596046448","64","64","64","0.21000000089406967","0.20000000298023224","0.2199999988079071","64","64","64","0.15000000596046448","0.15000000596046448","0.15000000596046448","64","64","64","0.20999999344348907","0.20999999344348907","0.20999999344348907","64","64","64","0.3400000035762787","0.3400000035762787","0.3400000035762787","64","64","64","0.44999998807907104","0.44999998807907104","0.44999998807907104"
"6600","65","65","65","0.10999999940395355","0.10999999940395355","0.10999999940395355","65","65","65","0.1600000038743019","0.14000000059604645","0.18000000715255737","65","65","65","0.14000000059604645","0.14000000059604645","0.14000000059604645","65","65","65","0.27000001072883606","0.27000001072883606","0.27000001072883606","65","65","65","0.23999999463558197","0.23999999463558197","0.23999999463558197","65","65","65","0.46000000834465027","0.46000000834465027","0.46000000834465027"
"6700","66","66","66","0.14000000059604645","0.14000000059604645","0.14000000059604645","66","66","66","0.17000000178813934","0.15000000596046448","0.1899999976158142","66","66","66","0.17000000178813934","0.17000000178813934","0.17000000178813934","66","66","66","0.2199999988079071","0.2199999988079071","0.2199999988079071","66","66","66","0.2800000011920929","0.2800000011920929","0.2800000011920929","66","66","66","0.4099999964237213","0.4099999964237213","0.4099999964237213"
"6800","67","67","67","0.1899999976158142","0.1899999976158142","0.1899999976158142","67","67","67","0.10500000044703484","0.09000000357627869","0.11999999731779099","67","67","67","0.2199999988079071","0.2199999988079071","0.2199999988079071","67","67","67","0.1599999964237213","0.1599999964237213","0.1599999964237213","67","67","67","0.2800000011920929","0.2800000011920929","0.2800000011920929","67","67","67","0.3799999952316284","0.3799999952316284","0.3799999952316284"
"6900","68","68","68","0.17000000178813934","0.17000000178813934","0.17000000178813934","68","68","68","0.14000000059604645","0.12999999523162842","0.15000000596046448","68","68","68","0.17000000178813934","0.17000000178813934","0.17000000178813934","68","68","68","0.1899999976158142","0.1899999976158142","0.1899999976158142","68","68","68","0.25","0.25","0.25","68","68","68","0.33000001311302185","0.33000001311302185","0.33000001311302185"
"7000","69","69","69","0.09000000357627869","0.09000000357627869","0.09000000357627869","69","69","69","0.125","0.10999999940395355","0.14000000059604645","69","69","69","0.18000000715255737","0.18000000715255737","0.18000000715255737","69","69","69","0.25","0.25","0.25","69","69","69","0.2800000011920929","0.2800000011920929","0.2800000011920929","69","69","69","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"7100","70","70","70","0.17000000178813934","0.17000000178813934","0.17000000178813934","70","70","70","0.1600000038743019","0.15000000596046448","0.17000000178813934","70","70","70","0.2199999988079071","0.2199999988079071","0.2199999988079071","70","70","70","0.23999999463558197","0.23999999463558197","0.23999999463558197","70","70","70","0.23000000417232513","0.23000000417232513","0.23000000417232513","70","70","70","0.41999998688697815","0.41999998688697815","0.41999998688697815"
"7200","71","71","71","0.09000000357627869","0.09000000357627869","0.09000000357627869","71","71","71","0.17000000178813934","0.1599999964237213","0.18000000715255737","71","71","71","0.18000000715255737","0.18000000715255737","0.18000000715255737","71","71","71","0.2800000011920929","0.2800000011920929","0.2800000011920929","71","71","71","0.23999999463558197","0.23999999463558197","0.23999999463558197","71","71","71","0.3799999952316284","0.3799999952316284","0.3799999952316284"
"7300","72","72","72","0.11999999731779099","0.11999999731779099","0.11999999731779099","72","72","72","0.17999999970197678","0.1599999964237213","0.20000000298023224","72","72","72","0.17000000178813934","0.17000000178813934","0.17000000178813934","72","72","72","0.2800000011920929","0.2800000011920929","0.2800000011920929","72","72","72","0.3499999940395355","0.3499999940395355","0.3499999940395355","72","72","72","0.4699999988079071","0.4699999988079071","0.4699999988079071"
"7400","73","73","73","0.15000000596046448","0.15000000596046448","0.15000000596046448","73","73","73","0.17999999597668648","0.11999999731779099","0.23999999463558197","73","73","73","0.18000000715255737","0.18000000715255737","0.18000000715255737","73","73","73","0.1599999964237213","0.1599999964237213","0.1599999964237213","73","73","73","0.36000001430511475","0.36000001430511475","0.36000001430511475","73","73","73","0.46000000834465027","0.46000000834465027","0.46000000834465027"
"7500","74","74","74","0.10999999940395355","0.10999999940395355","0.10999999940395355","74","74","74","0.10999999940395355","0.10999999940395355","0.10999999940395355","74","74","74","0.18000000715255737","0.18000000715255737","0.18000000715255737","74","74","74","0.20999999344348907","0.20999999344348907","0.20999999344348907","74","74","74","0.30000001192092896","0.30000001192092896","0.30000001192092896","74","74","74","0.3100000023841858","0.3100000023841858","0.3100000023841858"
"7600","75","75","75","0.12999999523162842","0.12999999523162842","0.12999999523162842","75","75","75","0.1600000001490116","0.11999999731779099","0.20000000298023224","75","75","75","0.09000000357627869","0.09000000357627869","0.09000000357627869","75","75","75","0.1899999976158142","0.1899999976158142","0.1899999976158142","75","75","75","0.23000000417232513","0.23000000417232513","0.23000000417232513","75","75","75","0.49000000953674316","0.49000000953674316","0.49000000953674316"
"7700","76","76","76","0.20999999344348907","0.20999999344348907","0.20999999344348907","76","76","76","0.17000000178813934","0.1599999964237213","0.18000000715255737","76","76","76","0.2199999988079071","0.2199999988079071","0.2199999988079071","76","76","76","0.27000001072883606","0.27000001072883606","0.27000001072883606","76","76","76","0.25999999046325684","0.25999999046325684","0.25999999046325684","76","76","76","0.4099999964237213","0.4099999964237213","0.4099999964237213"
"7800","77","77","77","0.20999999344348907","0.20999999344348907","0.20999999344348907","77","77","77","0.1550000011920929","0.15000000596046448","0.1599999964237213","77","77","77","0.20999999344348907","0.20999999344348907","0.20999999344348907","77","77","77","0.23000000417232513","0.23000000417232513","0.23000000417232513","77","77","77","0.28999999165534973","0.28999999165534973","0.28999999165534973","77","77","77","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"7900","78","78","78","0.1599999964237213","0.1599999964237213","0.1599999964237213","78","78","78","0.2149999961256981","0.1899999976158142","0.23999999463558197","78","78","78","0.15000000596046448","0.15000000596046448","0.15000000596046448","78","78","78","0.20999999344348907","0.20999999344348907","0.20999999344348907","78","78","78","0.28999999165534973","0.28999999165534973","0.28999999165534973","78","78","78","0.38999998569488525","0.38999998569488525","0.38999998569488525"
"8000","79","79","79","0.14000000059604645","0.14000000059604645","0.14000000059604645","79","79","79","0.2149999961256981","0.20999999344348907","0.2199999988079071","79","79","79","0.1899999976158142","0.1899999976158142","0.1899999976158142","79","79","79","0.2800000011920929","0.2800000011920929","0.2800000011920929","79","79","79","0.3199999928474426","0.3199999928474426","0.3199999928474426","79","79","79","0.4699999988079071","0.4699999988079071","0.4699999988079071"
"8100","80","80","80","0.12999999523162842","0.12999999523162842","0.12999999523162842","80","80","80","0.14999999850988388","0.14000000059604645","0.1599999964237213","80","80","80","0.1899999976158142","0.1899999976158142","0.1899999976158142","80","80","80","0.23999999463558197","0.23999999463558197","0.23999999463558197","80","80","80","0.3199999928474426","0.3199999928474426","0.3199999928474426","80","80","80","0.3799999952316284","0.3799999952316284","0.3799999952316284"
"8200","81","81","81","0.20000000298023224","0.20000000298023224","0.20000000298023224","81","81","81","0.17999999970197678","0.1599999964237213","0.20000000298023224","81","81","81","0.20000000298023224","0.20000000298023224","0.20000000298023224","81","81","81","0.1599999964237213","0.1599999964237213","0.1599999964237213","81","81","81","0.33000001311302185","0.33000001311302185","0.33000001311302185","81","81","81","0.4399999976158142","0.4399999976158142","0.4399999976158142"
"8300","82","82","82","0.15000000596046448","0.15000000596046448","0.15000000596046448","82","82","82","0.10999999940395355","0.07999999821186066","0.14000000059604645","82","82","82","0.1599999964237213","0.1599999964237213","0.1599999964237213","82","82","82","0.20000000298023224","0.20000000298023224","0.20000000298023224","82","82","82","0.3100000023841858","0.3100000023841858","0.3100000023841858","82","82","82","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"8400","83","83","83","0.17000000178813934","0.17000000178813934","0.17000000178813934","83","83","83","0.14000000059604645","0.14000000059604645","0.14000000059604645","83","83","83","0.14000000059604645","0.14000000059604645","0.14000000059604645","83","83","83","0.25","0.25","0.25","83","83","83","0.25","0.25","0.25","83","83","83","0.44999998807907104","0.44999998807907104","0.44999998807907104"
"8500","84","84","84","0.11999999731779099","0.11999999731779099","0.11999999731779099","84","84","84","0.1249999962747097","0.11999999731779099","0.12999999523162842","84","84","84","0.1599999964237213","0.1599999964237213","0.1599999964237213","84","84","84","0.20999999344348907","0.20999999344348907","0.20999999344348907","84","84","84","0.25","0.25","0.25","84","84","84","0.6100000143051147","0.6100000143051147","0.6100000143051147"
"8600","85","85","85","0.17000000178813934","0.17000000178813934","0.17000000178813934","85","85","85","0.17000000178813934","0.17000000178813934","0.17000000178813934","85","85","85","0.20999999344348907","0.20999999344348907","0.20999999344348907","85","85","85","0.20000000298023224","0.20000000298023224","0.20000000298023224","85","85","85","0.3100000023841858","0.3100000023841858","0.3100000023841858","85","85","85","0.41999998688697815","0.41999998688697815","0.41999998688697815"
"8700","86","86","86","0.1599999964237213","0.1599999964237213","0.1599999964237213","86","86","86","0.125","0.10999999940395355","0.14000000059604645","86","86","86","0.23999999463558197","0.23999999463558197","0.23999999463558197","86","86","86","0.1599999964237213","0.1599999964237213","0.1599999964237213","86","86","86","0.27000001072883606","0.27000001072883606","0.27000001072883606","86","86","86","0.38999998569488525","0.38999998569488525","0.38999998569488525"
"8800","87","87","87","0.20000000298023224","0.20000000298023224","0.20000000298023224","87","87","87","0.17499999701976776","0.1599999964237213","0.1899999976158142","87","87","87","0.23999999463558197","0.23999999463558197","0.23999999463558197","87","87","87","0.20999999344348907","0.20999999344348907","0.20999999344348907","87","87","87","0.36000001430511475","0.36000001430511475","0.36000001430511475","87","87","87","0.5600000023841858","0.5600000023841858","0.5600000023841858"
"8900","88","88","88","0.18000000715255737","0.18000000715255737","0.18000000715255737","88","88","88","0.17000000178813934","0.17000000178813934","0.17000000178813934","88","88","88","0.1599999964237213","0.1599999964237213","0.1599999964237213","88","88","88","0.20999999344348907","0.20999999344348907","0.20999999344348907","88","88","88","0.27000001072883606","0.27000001072883606","0.27000001072883606","88","88","88","0.41999998688697815","0.41999998688697815","0.41999998688697815"
"9000","89","89","89","0.20000000298023224","0.20000000298023224","0.20000000298023224","89","89","89","0.10999999940395355","0.09000000357627869","0.12999999523162842","89","89","89","0.15000000596046448","0.15000000596046448","0.15000000596046448","89","89","89","0.17000000178813934","0.17000000178813934","0.17000000178813934","89","89","89","0.33000001311302185","0.33000001311302185","0.33000001311302185","89","89","89","0.4399999976158142","0.4399999976158142","0.4399999976158142"
"9100","90","90","90","0.25999999046325684","0.25999999046325684","0.25999999046325684","90","90","90","0.17000000178813934","0.1599999964237213","0.18000000715255737","90","90","90","0.1599999964237213","0.1599999964237213","0.1599999964237213","90","90","90","0.23000000417232513","0.23000000417232513","0.23000000417232513","90","90","90","0.3199999928474426","0.3199999928474426","0.3199999928474426","90","90","90","0.47999998927116394","0.47999998927116394","0.47999998927116394"
"9200","91","91","91","0.12999999523162842","0.12999999523162842","0.12999999523162842","91","91","91","0.17000000178813934","0.15000000596046448","0.1899999976158142","91","91","91","0.1599999964237213","0.1599999964237213","0.1599999964237213","91","91","91","0.30000001192092896","0.30000001192092896","0.30000001192092896","91","91","91","0.3700000047683716","0.3700000047683716","0.3700000047683716","91","91","91","0.4300000071525574","0.4300000071525574","0.4300000071525574"
"9300","92","92","92","0.11999999731779099","0.11999999731779099","0.11999999731779099","92","92","92","0.11499999836087227","0.10000000149011612","0.12999999523162842","92","92","92","0.20999999344348907","0.20999999344348907","0.20999999344348907","92","92","92","0.27000001072883606","0.27000001072883606","0.27000001072883606","92","92","92","0.3199999928474426","0.3199999928474426","0.3199999928474426","92","92","92","0.3799999952316284","0.3799999952316284","0.3799999952316284"
"9400","93","93","93","0.1599999964237213","0.1599999964237213","0.1599999964237213","93","93","93","0.14499999582767487","0.12999999523162842","0.1599999964237213","93","93","93","0.2800000011920929","0.2800000011920929","0.2800000011920929","93","93","93","0.2800000011920929","0.2800000011920929","0.2800000011920929","93","93","93","0.25999999046325684","0.25999999046325684","0.25999999046325684","93","93","93","0.46000000834465027","0.46000000834465027","0.46000000834465027"
"9500","94","94","94","0.1599999964237213","0.1599999964237213","0.1599999964237213","94","94","94","0.19500000029802322","0.1599999964237213","0.23000000417232513","94","94","94","0.1899999976158142","0.1899999976158142","0.1899999976158142","94","94","94","0.23999999463558197","0.23999999463558197","0.23999999463558197","94","94","94","0.3100000023841858","0.3100000023841858","0.3100000023841858","94","94","94","0.49000000953674316","0.49000000953674316","0.49000000953674316"
"9600","95","95","95","0.18000000715255737","0.18000000715255737","0.18000000715255737","95","95","95","0.21000000834465027","0.15000000596046448","0.27000001072883606","95","95","95","0.1899999976158142","0.1899999976158142","0.1899999976158142","95","95","95","0.30000001192092896","0.30000001192092896","0.30000001192092896","95","95","95","0.4000000059604645","0.4000000059604645","0.4000000059604645","95","95","95","0.4699999988079071","0.4699999988079071","0.4699999988079071"
"9700","96","96","96","0.10999999940395355","0.10999999940395355","0.10999999940395355","96","96","96","0.16999999433755875","0.12999999523162842","0.20999999344348907","96","96","96","0.1599999964237213","0.1599999964237213","0.1599999964237213","96","96","96","0.1899999976158142","0.1899999976158142","0.1899999976158142","96","96","96","0.3700000047683716","0.3700000047683716","0.3700000047683716","96","96","96","0.4399999976158142","0.4399999976158142","0.4399999976158142"
"9800","97","97","97","0.1599999964237213","0.1599999964237213","0.1599999964237213","97","97","97","0.14499999955296516","0.11999999731779099","0.17000000178813934","97","97","97","0.17000000178813934","0.17000000178813934","0.17000000178813934","97","97","97","0.25","0.25","0.25","97","97","97","0.2800000011920929","0.2800000011920929","0.2800000011920929","97","97","97","0.44999998807907104","0.44999998807907104","0.44999998807907104"
"9900","98","98","98","0.14000000059604645","0.14000000059604645","0.14000000059604645","98","98","98","0.17499999701976776","0.1599999964237213","0.1899999976158142","98","98","98","0.17000000178813934","0.17000000178813934","0.17000000178813934","98","98","98","0.23999999463558197","0.23999999463558197","0.23999999463558197","98","98","98","0.41999998688697815","0.41999998688697815","0.41999998688697815","98","98","98","0.5099999904632568","0.5099999904632568","0.5099999904632568"
"10000","99","99","99","0.18000000715255737","0.18000000715255737","0.18000000715255737","99","99","99","0.23999999463558197","0.2199999988079071","0.25999999046325684","99","99","99","0.2199999988079071","0.2199999988079071","0.2199999988079071","99","99","99","0.23999999463558197","0.23999999463558197","0.23999999463558197","99","99","99","0.38999998569488525","0.38999998569488525","0.38999998569488525","99","99","99","0.5699999928474426","0.5699999928474426","0.5699999928474426"
"10100","100","100","100","0.12999999523162842","0.12999999523162842","0.12999999523162842","100","100","100","0.18000000715255737","0.18000000715255737","0.18000000715255737","100","100","100","0.20999999344348907","0.20999999344348907","0.20999999344348907","100","100","100","0.27000001072883606","0.27000001072883606","0.27000001072883606","100","100","100","0.28999999165534973","0.28999999165534973","0.28999999165534973","100","100","100","0.5400000214576721","0.5400000214576721","0.5400000214576721"
"10200","101","101","101","0.14000000059604645","0.14000000059604645","0.14000000059604645","101","101","101","0.14499999955296516","0.11999999731779099","0.17000000178813934","101","101","101","0.23000000417232513","0.23000000417232513","0.23000000417232513","101","101","101","0.2800000011920929","0.2800000011920929","0.2800000011920929","101","101","101","0.30000001192092896","0.30000001192092896","0.30000001192092896","101","101","101","0.5299999713897705","0.5299999713897705","0.5299999713897705"
"10300","102","102","102","0.10000000149011612","0.10000000149011612","0.10000000149011612","102","102","102","0.17499999701976776","0.12999999523162842","0.2199999988079071","102","102","102","0.23999999463558197","0.23999999463558197","0.23999999463558197","102","102","102","0.2199999988079071","0.2199999988079071","0.2199999988079071","102","102","102","0.36000001430511475","0.36000001430511475","0.36000001430511475","102","102","102","0.5","0.5","0.5"
"10400","103","103","103","0.11999999731779099","0.11999999731779099","0.11999999731779099","103","103","103","0.17500000447034836","0.15000000596046448","0.20000000298023224","103","103","103","0.30000001192092896","0.30000001192092896","0.30000001192092896","103","103","103","0.1899999976158142","0.1899999976158142","0.1899999976158142","103","103","103","0.30000001192092896","0.30000001192092896","0.30000001192092896","103","103","103","0.5299999713897705","0.5299999713897705","0.5299999713897705"
"10500","104","104","104","0.1899999976158142","0.1899999976158142","0.1899999976158142","104","104","104","0.21000000089406967","0.18000000715255737","0.23999999463558197","104","104","104","0.2800000011920929","0.2800000011920929","0.2800000011920929","104","104","104","0.27000001072883606","0.27000001072883606","0.27000001072883606","104","104","104","0.27000001072883606","0.27000001072883606","0.27000001072883606","104","104","104","0.6100000143051147","0.6100000143051147","0.6100000143051147"
"10600","105","105","105","0.14000000059604645","0.14000000059604645","0.14000000059604645","105","105","105","0.17000000178813934","0.1599999964237213","0.18000000715255737","105","105","105","0.23000000417232513","0.23000000417232513","0.23000000417232513","105","105","105","0.27000001072883606","0.27000001072883606","0.27000001072883606","105","105","105","0.36000001430511475","0.36000001430511475","0.36000001430511475","105","105","105","0.5400000214576721","0.5400000214576721","0.5400000214576721"
"10700","106","106","106","0.15000000596046448","0.15000000596046448","0.15000000596046448","106","106","106","0.1900000050663948","0.15000000596046448","0.23000000417232513","106","106","106","0.17000000178813934","0.17000000178813934","0.17000000178813934","106","106","106","0.25","0.25","0.25","106","106","106","0.3799999952316284","0.3799999952316284","0.3799999952316284","106","106","106","0.5799999833106995","0.5799999833106995","0.5799999833106995"
"10800","107","107","107","0.11999999731779099","0.11999999731779099","0.11999999731779099","107","107","107","0.1549999974668026","0.11999999731779099","0.1899999976158142","107","107","107","0.20999999344348907","0.20999999344348907","0.20999999344348907","107","107","107","0.3100000023841858","0.3100000023841858","0.3100000023841858","107","107","107","0.25","0.25","0.25","107","107","107","0.3700000047683716","0.3700000047683716","0.3700000047683716"
"10900","108","108","108","0.14000000059604645","0.14000000059604645","0.14000000059604645","108","108","108","0.17499999701976776","0.1599999964237213","0.1899999976158142","108","108","108","0.2199999988079071","0.2199999988079071","0.2199999988079071","108","108","108","0.27000001072883606","0.27000001072883606","0.27000001072883606","108","108","108","0.27000001072883606","0.27000001072883606","0.27000001072883606","108","108","108","0.5899999737739563","0.5899999737739563","0.5899999737739563"
"11000","109","109","109","0.15000000596046448","0.15000000596046448","0.15000000596046448","109","109","109","0.20499999821186066","0.1899999976158142","0.2199999988079071","109","109","109","0.14000000059604645","0.14000000059604645","0.14000000059604645","109","109","109","0.25999999046325684","0.25999999046325684","0.25999999046325684","109","109","109","0.3100000023841858","0.3100000023841858","0.3100000023841858","109","109","109","0.5400000214576721","0.5400000214576721","0.5400000214576721"
"11100","110","110","110","0.15000000596046448","0.15000000596046448","0.15000000596046448","110","110","110","0.22500000894069672","0.18000000715255737","0.27000001072883606","110","110","110","0.15000000596046448","0.15000000596046448","0.15000000596046448","110","110","110","0.28999999165534973","0.28999999165534973","0.28999999165534973","110","110","110","0.3100000023841858","0.3100000023841858","0.3100000023841858","110","110","110","0.6499999761581421","0.6499999761581421","0.6499999761581421"
"11200","111","111","111","0.10999999940395355","0.10999999940395355","0.10999999940395355","111","111","111","0.14999999850988388","0.10999999940395355","0.1899999976158142","111","111","111","0.17000000178813934","0.17000000178813934","0.17000000178813934","111","111","111","0.30000001192092896","0.30000001192092896","0.30000001192092896","111","111","111","0.3700000047683716","0.3700000047683716","0.3700000047683716","111","111","111","0.47999998927116394","0.47999998927116394","0.47999998927116394"
"11300","112","112","112","0.11999999731779099","0.11999999731779099","0.11999999731779099","112","112","112","0.1600000038743019","0.15000000596046448","0.17000000178813934","112","112","112","0.18000000715255737","0.18000000715255737","0.18000000715255737","112","112","112","0.23000000417232513","0.23000000417232513","0.23000000417232513","112","112","112","0.3199999928474426","0.3199999928474426","0.3199999928474426","112","112","112","0.6800000071525574","0.6800000071525574","0.6800000071525574"
"11400","113","113","113","0.1899999976158142","0.1899999976158142","0.1899999976158142","113","113","113","0.17999999970197678","0.17000000178813934","0.1899999976158142","113","113","113","0.27000001072883606","0.27000001072883606","0.27000001072883606","113","113","113","0.28999999165534973","0.28999999165534973","0.28999999165534973","113","113","113","0.4000000059604645","0.4000000059604645","0.4000000059604645","113","113","113","0.6399999856948853","0.6399999856948853","0.6399999856948853"
"11500","114","114","114","0.20000000298023224","0.20000000298023224","0.20000000298023224","114","114","114","0.13999999687075615","0.11999999731779099","0.1599999964237213","114","114","114","0.11999999731779099","0.11999999731779099","0.11999999731779099","114","114","114","0.28999999165534973","0.28999999165534973","0.28999999165534973","114","114","114","0.3700000047683716","0.3700000047683716","0.3700000047683716","114","114","114","0.6899999976158142","0.6899999976158142","0.6899999976158142"
"11600","115","115","115","0.18000000715255737","0.18000000715255737","0.18000000715255737","115","115","115","0.20499999821186066","0.20000000298023224","0.20999999344348907","115","115","115","0.25999999046325684","0.25999999046325684","0.25999999046325684","115","115","115","0.3499999940395355","0.3499999940395355","0.3499999940395355","115","115","115","0.4300000071525574","0.4300000071525574","0.4300000071525574","115","115","115","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"11700","116","116","116","0.18000000715255737","0.18000000715255737","0.18000000715255737","116","116","116","0.2199999988079071","0.18000000715255737","0.25999999046325684","116","116","116","0.2199999988079071","0.2199999988079071","0.2199999988079071","116","116","116","0.25999999046325684","0.25999999046325684","0.25999999046325684","116","116","116","0.3799999952316284","0.3799999952316284","0.3799999952316284","116","116","116","0.5400000214576721","0.5400000214576721","0.5400000214576721"
"11800","117","117","117","0.18000000715255737","0.18000000715255737","0.18000000715255737","117","117","117","0.1899999976158142","0.17000000178813934","0.20999999344348907","117","117","117","0.20000000298023224","0.20000000298023224","0.20000000298023224","117","117","117","0.25999999046325684","0.25999999046325684","0.25999999046325684","117","117","117","0.3499999940395355","0.3499999940395355","0.3499999940395355","117","117","117","0.6700000166893005","0.6700000166893005","0.6700000166893005"
"11900","118","118","118","0.17000000178813934","0.17000000178813934","0.17000000178813934","118","118","118","0.17000000178813934","0.14000000059604645","0.20000000298023224","118","118","118","0.20000000298023224","0.20000000298023224","0.20000000298023224","118","118","118","0.20000000298023224","0.20000000298023224","0.20000000298023224","118","118","118","0.3199999928474426","0.3199999928474426","0.3199999928474426","118","118","118","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"12000","119","119","119","0.12999999523162842","0.12999999523162842","0.12999999523162842","119","119","119","0.16499999910593033","0.1599999964237213","0.17000000178813934","119","119","119","0.25","0.25","0.25","119","119","119","0.30000001192092896","0.30000001192092896","0.30000001192092896","119","119","119","0.33000001311302185","0.33000001311302185","0.33000001311302185","119","119","119","0.5699999928474426","0.5699999928474426","0.5699999928474426"
"12100","120","120","120","0.20999999344348907","0.20999999344348907","0.20999999344348907","120","120","120","0.17499999701976776","0.14000000059604645","0.20999999344348907","120","120","120","0.1899999976158142","0.1899999976158142","0.1899999976158142","120","120","120","0.27000001072883606","0.27000001072883606","0.27000001072883606","120","120","120","0.3100000023841858","0.3100000023841858","0.3100000023841858","120","120","120","0.6200000047683716","0.6200000047683716","0.6200000047683716"
"12200","121","121","121","0.20999999344348907","0.20999999344348907","0.20999999344348907","121","121","121","0.1850000023841858","0.14000000059604645","0.23000000417232513","121","121","121","0.20999999344348907","0.20999999344348907","0.20999999344348907","121","121","121","0.3400000035762787","0.3400000035762787","0.3400000035762787","121","121","121","0.3499999940395355","0.3499999940395355","0.3499999940395355","121","121","121","0.6299999952316284","0.6299999952316284","0.6299999952316284"
"12300","122","122","122","0.2199999988079071","0.2199999988079071","0.2199999988079071","122","122","122","0.17000000178813934","0.1599999964237213","0.18000000715255737","122","122","122","0.3199999928474426","0.3199999928474426","0.3199999928474426","122","122","122","0.3400000035762787","0.3400000035762787","0.3400000035762787","122","122","122","0.36000001430511475","0.36000001430511475","0.36000001430511475","122","122","122","0.6800000071525574","0.6800000071525574","0.6800000071525574"
